# Character art: Universal LPC Spritesheet (art assets only, not generator code).
# Full per-asset credits: https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator/blob/master/CREDITS.csv
"asset","authors","licenses","source_url"
"outfit/mage_t3_female","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"outfit/healer_t0_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/healer_t0_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/healer_t1_male","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike)","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/healer_t1_female","JaidynReiman | bluecarrot16 | Johannes Sjölund (wulax) | Joe White | ElizaWy | Matthew Krohn (makrohn) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"outfit/healer_t2_male","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | bluecarrot16","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"outfit/healer_t2_female","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"outfit/healer_t3_male","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | bluecarrot16","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"outfit/healer_t3_female","Nila122 | JaidynReiman | Matthew Krohn (makrohn) | Johannes Sjölund (wulax) | Stephen Challener (Redshrike) | Luke Mehl","OGA-BY 3.0 | CC-BY-SA 3.0 | GPL 2.0 | GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"gear/sword_male","ElizaWy | walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword"
"gear/sword_female","ElizaWy | walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword"
